allow_double_logging,completed_date,consistency_score,consistency_weight,current_streak,current_value,health_score,longest_streak,maximum_session_period,minimum_session_daily,minimum_session_period,misses_allowed_per_period,momentum_score,momentum_weight,period_end,period_start,progress_percentage,progress_score,progress_weight,created_at,id,last_updated_at,goal_id,health_status,metric,schedule_spec,target_operator,uuid,target_value
False,,66.67,45,0,120.0,72.5,0,240,90.0,180,1,100.0,30,2026-04-05,2026-04-01,50.0,50.0,25,2026-04-01 05:00:00.000000,40110,2026-04-05 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,ON_TRACK,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,0351fd81-7162-4e33-8c38-b9be9dbca12b,2160.0
False,,66.67,45,0,120.0,72.5,0,240,60.0,180,1,100.0,30,2026-04-12,2026-04-06,50.0,50.0,25,2026-04-06 05:00:00.000000,40111,2026-04-12 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,ON_TRACK,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,1ea56a63-11d1-4eeb-8c7e-7dfb9caaf652,2160.0
False,,100.0,45,1,180.0,93.75,1,240,60.0,180,1,100.0,30,2026-04-19,2026-04-13,75.0,75.0,25,2026-04-13 05:00:00.000000,40112,2026-04-19 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,THRIVING,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,d5c4d46a-f524-42d6-8a21-1317be26ec71,2160.0
False,,100.0,45,2,180.0,93.75,2,240,60.0,180,1,100.0,30,2026-04-26,2026-04-20,75.0,75.0,25,2026-04-20 05:00:00.000000,40113,2026-04-26 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,THRIVING,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,f4f9e088-3b75-4f2c-8608-2b122edfdeb7,2160.0
False,,100.0,45,3,180.0,93.75,3,240,60.0,180,1,100.0,30,2026-05-03,2026-04-27,75.0,75.0,25,2026-04-27 05:00:00.000000,40114,2026-05-03 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,THRIVING,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,8aa336e0-b4c2-48ec-99e2-72cc7d622709,2160.0
False,,100.0,45,4,180.0,93.75,4,240,60.0,180,1,100.0,30,2026-05-10,2026-05-04,75.0,75.0,25,2026-05-04 05:00:00.000000,40115,2026-05-10 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,THRIVING,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,210d4a51-22cd-4546-8bd6-ccbbd1303e7e,2160.0
False,,100.0,45,5,180.0,93.75,5,240,60.0,180,1,100.0,30,2026-05-17,2026-05-11,75.0,75.0,25,2026-05-11 05:00:00.000000,40116,2026-05-17 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,THRIVING,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,7214b635-6f21-48d5-b7c1-dd54768d1542,2160.0
False,,66.67,45,5,120.0,62.5,5,240,60.0,180,1,66.67,30,2026-05-24,2026-05-18,50.0,50.0,25,2026-05-18 05:00:00.000000,40117,2026-05-24 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,ON_TRACK,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,98bb73f7-0d9d-49e2-aef2-501ac4fa13fd,2160.0
False,,100.0,45,6,180.0,93.75,6,240,60.0,180,1,100.0,30,2026-05-31,2026-05-25,75.0,75.0,25,2026-05-25 05:00:00.000000,40118,2026-05-31 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,THRIVING,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,6374e857-a060-4871-a634-602d870ceb01,2160.0
False,,100.0,45,7,180.0,93.75,7,240,60.0,180,1,100.0,30,2026-06-07,2026-06-01,75.0,75.0,25,2026-06-01 05:00:00.000000,40119,2026-06-07 22:00:00.000000,35db5859-e282-4de2-add9-c7485fd2c604,THRIVING,DURATION,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",GREATER_THAN,abb7094c-092c-4cf0-8748-fd308ddb692c,2160.0
