allow_double_logging,consistency_score,consistency_weight,current_streak,current_value,health_score,is_deleted,is_milestone,longest_streak,maximum_session_period,minimum_session_daily,minimum_session_period,minimum_time_committed_daily,minimum_time_committed_period,misses_allowed_per_period,momentum_score,momentum_weight,progress_percentage,progress_score,progress_weight,target_value,completed_date,created_at,id,last_updated_at,start_date,target_date,description,goal_type,health_status,metric,parent_goal_id,priority,schedule_spec,status,target_operator,title,user_id,uuid,minimum_time_committed_per_activity
t,74.98,34,,0,68.74,f,t,,,,,,,,86.04,33,0,56.29,33,1,,2026-06-21 09:00:00,30001,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,"Umbrella goal for study, interview prep, and career reviews.",PROJECT,ON_TRACK,COUNT,"",CRITICAL,"",IN_PROGRESS,GREATER_THAN,Career Growth,8503910b-7ba7-46a5-81ce-70596af035aa,c20c1b7a-3457-4fb2-bfd9-128d48c0706a,
t,32.97,45,0,60,33.79,f,f,0,2,0.01,1,,45,0,65.93,20,75,16.48,35,80,,2026-06-21 09:00:00,30002,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,Daily aptitude practice to build interview speed and accuracy.,HABIT,CRITICAL,COUNT,c20c1b7a-3457-4fb2-bfd9-128d48c0706a,CRITICAL,"{""version"":2,""scheduleType"":""DAILY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":1,""maxCheckins"":2},""rules"":[],""exclusions"":[]}",IN_PROGRESS,GREATER_THAN,Do 5 Quants Daily,8503910b-7ba7-46a5-81ce-70596af035aa,e9b133d2-594b-4a5a-a91a-b7098289090e,30
t,89.29,35,0,3540,88.24,f,f,5,270,4.62,180,,240,1,89.57,25,100,86.51,40,2400,2026-06-30 23:59:59,2026-06-21 09:00:00,30003,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,Structured long-form sessions for architecture and trade-off practice.,SKILL,THRIVING,DURATION,c20c1b7a-3457-4fb2-bfd9-128d48c0706a,HIGH,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""TUESDAY"",""THURSDAY"",""SATURDAY""],""mode"":""STRICT""}],""exclusions"":[]}",COMPLETED,GREATER_THAN,System Design Deep Work,8503910b-7ba7-46a5-81ce-70596af035aa,52f027c0-14d5-45e3-9fc2-05ea3bf5739a,90
f,100,30,3,3,75,f,f,3,2,0.33,1,,120,0,100,20,75,50,50,4,,2026-06-21 09:00:00,30004,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,Monthly interview simulation with notes and follow-up actions.,PROJECT,ON_TRACK,COUNT,c20c1b7a-3457-4fb2-bfd9-128d48c0706a,HIGH,"{""version"":2,""scheduleType"":""MONTHLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":1,""maxCheckins"":2},""rules"":[{""scope"":""WEEK_OF_MONTH"",""values"":[2],""mode"":""STRICT"",""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""SATURDAY""],""mode"":""STRICT""}]}],""exclusions"":[]}",IN_PROGRESS,GREATER_THAN,Mock Interview,8503910b-7ba7-46a5-81ce-70596af035aa,cb046cb2-004b-434d-8955-098cfa6215f0,90
f,100,30,1,3,100,f,f,1,3,1,3,,180,0,100,20,100,100,50,3,2026-06-30 23:59:59,2026-06-21 09:00:00,30005,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,One structured reflection at the end of each month in the quarter.,GENERAL,THRIVING,COUNT,c20c1b7a-3457-4fb2-bfd9-128d48c0706a,MEDIUM,"{""version"":2,""scheduleType"":""QUARTERLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":3},""rules"":[{""scope"":""MONTH_OF_QUARTER"",""values"":[1,2,3],""mode"":""STRICT"",""rules"":[{""scope"":""DAY_OF_MONTH"",""values"":[""LAST""],""mode"":""STRICT""}]}],""exclusions"":[]}",COMPLETED,GREATER_THAN,Quarterly Career Review,8503910b-7ba7-46a5-81ce-70596af035aa,dab4c00f-e194-4fa2-9169-fba4d17bbb4b,60
t,56.99,50,,0,61.94,f,t,,,,,,,,88.08,30,0,42.03,20,1,,2026-06-21 09:00:00,30006,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,"Strength, cardio, and recovery goals grouped together.",FITNESS,ON_TRACK,COUNT,"",HIGH,"",IN_PROGRESS,GREATER_THAN,Fitness Baseline,8503910b-7ba7-46a5-81ce-70596af035aa,69023da9-3800-414f-8e27-099fe2c2f504,
f,85.71,45,2,2160,81.79,f,f,7,240,4.62,180,,210,1,90.48,30,100,64.29,25,2160,2026-06-30 23:59:59,2026-06-21 09:00:00,30007,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,Three planned lifting sessions every week.,FITNESS,THRIVING,DURATION,69023da9-3800-414f-8e27-099fe2c2f504,HIGH,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":3,""maxCheckins"":4},""rules"":[{""scope"":""DAY_OF_WEEK"",""values"":[""MONDAY"",""WEDNESDAY"",""FRIDAY""],""mode"":""STRICT""}],""exclusions"":[]}",COMPLETED,GREATER_THAN,Strength Training,8503910b-7ba7-46a5-81ce-70596af035aa,35db5859-e282-4de2-add9-c7485fd2c604,60
t,30.23,40,0,1350,47.35,f,f,0,180,1.32,120,,150,1,91.24,30,90,26.28,30,1500,,2026-06-21 09:00:00,30008,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,Steady-state cardio spread flexibly through the week.,FITNESS,AT_RISK,DURATION,69023da9-3800-414f-8e27-099fe2c2f504,MEDIUM,"{""version"":2,""scheduleType"":""WEEKLY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":2,""maxCheckins"":4},""rules"":[],""exclusions"":[]}",IN_PROGRESS,GREATER_THAN,Zone 2 Cardio,8503910b-7ba7-46a5-81ce-70596af035aa,97f8b254-2585-4275-9b8e-79465068627c,45
t,40.66,50,0,1110,46.76,f,f,0,25,0.16,15,,20,1,81.32,25,92.5,24.4,25,1200,,2026-06-21 09:00:00,30009,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,Short daily recovery and mobility routine.,FITNESS,AT_RISK,DURATION,69023da9-3800-414f-8e27-099fe2c2f504,MEDIUM,"{""version"":2,""scheduleType"":""DAILY"",""timezone"":""Asia/Calcutta"",""weekStartsOn"":""MONDAY"",""weekOfMonthModel"":""DAY_BUCKETS"",""requirements"":{""minCheckins"":1,""maxCheckins"":2},""rules"":[],""exclusions"":[]}",IN_PROGRESS,GREATER_THAN,Mobility Reset,8503910b-7ba7-46a5-81ce-70596af035aa,a0cee818-a77f-4054-92d9-9f9b18c8ae96,15
t,75.82,34,,0,63.91,f,t,,,,,,,,91.65,33,0,37.91,33,1,,2026-06-21 09:00:00,30010,2026-09-24 09:00:00,2026-04-01 00:00:00,2026-06-30 23:59:59,Habits that keep life admin and reflection under control.,GENERAL,ON_TRACK,COUNT,"",MEDIUM,"",IN_PROGRESS,GREATER_THAN,Personal Systems,8503910b-7ba7-46a5-81ce-70596af035aa,062ad5b7-51cc-4043-8c50-ac6df95a49f5,
